              Vardas             Pavarde       ND1       ND2       ND3       ND4       ND5      Egz.
          Vardas2040         Pavarde2040         4         3         2         1         4        10
          Vardas2041         Pavarde2041         4         8        10         7         7         2
          Vardas2042         Pavarde2042         2         7         4        10         6         8
          Vardas2043         Pavarde2043         5         8         4         3         1         2
          Vardas2044         Pavarde2044         8         7         4         2         8         6
          Vardas2045         Pavarde2045         3        10         7         8         2         5
          Vardas2046         Pavarde2046        10         6         9         5         9         7
          Vardas2047         Pavarde2047         3        10         9         1         8         8
          Vardas2048         Pavarde2048         5         7         1        10         6         1
          Vardas2049         Pavarde2049        10         6         4         8         1         7
          Vardas2050         Pavarde2050         5         1         1         9         2         7
          Vardas2051         Pavarde2051         8         3         5         8         7         5
          Vardas2052         Pavarde2052         7         2         8         6         8         2
          Vardas2053         Pavarde2053         9         5         4         5         4         1
          Vardas2054         Pavarde2054        10         1         1         5         5         4
          Vardas2055         Pavarde2055         8         2         6         4         9         4
          Vardas2056         Pavarde2056         7         3         3         8        10         2
          Vardas2057         Pavarde2057         9         5         7        10         2         6
          Vardas2058         Pavarde2058         6         6         7         7         1         5
          Vardas2059         Pavarde2059         2         6         7         3         8         4
          Vardas2060         Pavarde2060         1         4         2         9         5         6
          Vardas2061         Pavarde2061         9         4         2        10         1         5
          Vardas2062         Pavarde2062         5         4         7         2         7         8
          Vardas2063         Pavarde2063         7         1         2         9         8         2
          Vardas2064         Pavarde2064         2         6         9         2         3         3
          Vardas2065         Pavarde2065         1         9         9        10         9         8
          Vardas2066         Pavarde2066         3         9         9         7         3         3
          Vardas2067         Pavarde2067         4         4         9        10         3         9
          Vardas2068         Pavarde2068        10         4         9         6         4        10
          Vardas2069         Pavarde2069         2         5         7         5         9         2
          Vardas2070         Pavarde2070         5         4         5        10         6         9
          Vardas2071         Pavarde2071         1         7         8         9         9         5
          Vardas2072         Pavarde2072         8         9         1         5         9         8
          Vardas2073         Pavarde2073         2        10         7         3         2         7
          Vardas2074         Pavarde2074         2         4         4         7         9         6
          Vardas2075         Pavarde2075         9         5         5         7         8        10
          Vardas2076         Pavarde2076         7         9         1         7         3         8
          Vardas2077         Pavarde2077         5         1         8         1         5        10
          Vardas2078         Pavarde2078         4         3         2         2         9         2
          Vardas2079         Pavarde2079        10         2         6         3         9         2
          Vardas2080         Pavarde2080         3         4         3        10         2         9
          Vardas2081         Pavarde2081        10        10         8         2         4         8
          Vardas2082         Pavarde2082        10         6         8         2         4         3
          Vardas2083         Pavarde2083         1         5         3         5         8         1
          Vardas2084         Pavarde2084         5        10         6         2         8         2
          Vardas2085         Pavarde2085         6         3         6         9         2         3
          Vardas2086         Pavarde2086         7         1         9         9         9         8
          Vardas2087         Pavarde2087         9         6         4         4         9         8
          Vardas2088         Pavarde2088         7         4         1        10         2         1
          Vardas2089         Pavarde2089         8         2         8         2         7         1
          Vardas2090         Pavarde2090         4         8         2        10         6         3
          Vardas2091         Pavarde2091         9         8        10         8         4         2
          Vardas2092         Pavarde2092         6         5         8         3         1         3
          Vardas2093         Pavarde2093         7         3         6         3         7         9
          Vardas2094         Pavarde2094         2         3         7         1         1        10
          Vardas2095         Pavarde2095         8         5         5         4         3         3
          Vardas2096         Pavarde2096         4         2         2         9         4         1
          Vardas2097         Pavarde2097         1         7         2         8         4         8
          Vardas2098         Pavarde2098         8        10         3         1         9         5
          Vardas2099         Pavarde2099         2         9         4         4         1         9
          Vardas2100         Pavarde2100         9         2         7         3        10         5
          Vardas2101         Pavarde2101         8         8         1         7         2        10
          Vardas2102         Pavarde2102         2         3         6         8        10         3
          Vardas2103         Pavarde2103         6         9         7         6        10         4
          Vardas2104         Pavarde2104         4         6         4         3         5         5
          Vardas2105         Pavarde2105         5         6         7         7         5         1
          Vardas2106         Pavarde2106         8         2         3        10        10         3
          Vardas2107         Pavarde2107         4        10         4        10         2         9
          Vardas2108         Pavarde2108        10         7         7         5         8         1
          Vardas2109         Pavarde2109         7         4         3         6         2         1
          Vardas2110         Pavarde2110         5         6         9         3         6         4
          Vardas2111         Pavarde2111         8         4         8         2         8         5
          Vardas2112         Pavarde2112         8        10         3         7         9         7
          Vardas2113         Pavarde2113         2         8         4         2         3         5
          Vardas2114         Pavarde2114         5         4         9         1        10         6
          Vardas2115         Pavarde2115         3         9         7         6        10         6
          Vardas2116         Pavarde2116         8         6         9         5         2         2
          Vardas2117         Pavarde2117         2         7         8         3         4        10
          Vardas2118         Pavarde2118         3         9         4         3         5         8
          Vardas2119         Pavarde2119         8         2         4         5         2        10
          Vardas2120         Pavarde2120         4        10         6         6         2         4
          Vardas2121         Pavarde2121         9         9         4         5         4        10
          Vardas2122         Pavarde2122         4         7         6         6         1         1
          Vardas2123         Pavarde2123         9         8         2         4         4         3
          Vardas2124         Pavarde2124         7         8         3         9         8         1
          Vardas2125         Pavarde2125         4        10         7         7         6         6
          Vardas2126         Pavarde2126         2         2         1         9         5         8
          Vardas2127         Pavarde2127         3         4         8         3         6         6
          Vardas2128         Pavarde2128         9        10         4         1         9        10
          Vardas2129         Pavarde2129        10         2         2         4         3         1
          Vardas2130         Pavarde2130         9         2         3         3         8         5
          Vardas2131         Pavarde2131         2         5         2         3         7         5
          Vardas2132         Pavarde2132         4         2         5         9         7         7
          Vardas2133         Pavarde2133         7         3         6         9         4         4
          Vardas2134         Pavarde2134         2         2         7         7         9         8
          Vardas2135         Pavarde2135         3         1        10         3         5         6
          Vardas2136         Pavarde2136         7         2         9         1         8         7
          Vardas2137         Pavarde2137         9         7         9        10         9         3
          Vardas2138         Pavarde2138         3         4         7         1         5         5
          Vardas2139         Pavarde2139         7         8        10         6         8         3
          Vardas2140         Pavarde2140         9         2         2         2         9         1
          Vardas2141         Pavarde2141         4         6         8        10         6         2
          Vardas2142         Pavarde2142         5        10         9         8         9         5
          Vardas2143         Pavarde2143        10         7         5        10         8         7
          Vardas2144         Pavarde2144         8         1         3         5         6         8
          Vardas2145         Pavarde2145        10         6         6         2         6        10
          Vardas2146         Pavarde2146         4         5         8         3         6        10
          Vardas2147         Pavarde2147         9        10         4         3         8         9
          Vardas2148         Pavarde2148         9         4         7        10         3        10
          Vardas2149         Pavarde2149        10         4         3        10         1         2
          Vardas2150         Pavarde2150         4         9         3         9         3         9
          Vardas2151         Pavarde2151         8         4         3         2         5        10
          Vardas2152         Pavarde2152         5         7         5         6         5         8
          Vardas2153         Pavarde2153         9         1         3         5         5        10
          Vardas2154         Pavarde2154         8         9         7         9         7         1
          Vardas2155         Pavarde2155         7         3         5         6        10         3
          Vardas2156         Pavarde2156         4         4         2         6         7         6
          Vardas2157         Pavarde2157         5         6         3         8         6         8
          Vardas2158         Pavarde2158         2         1         5         7         6         9
          Vardas2159         Pavarde2159         3         5         3         4        10         5
          Vardas2160         Pavarde2160         7         9        10         8         7         6
          Vardas2161         Pavarde2161         1         3         2         4         4         4
          Vardas2162         Pavarde2162         4         7         6         1         9         2
          Vardas2163         Pavarde2163         4         6         3         7        10         9
          Vardas2164         Pavarde2164         9         2         6         4         6         6
          Vardas2165         Pavarde2165         5         5         1         5         4         2
          Vardas2166         Pavarde2166         1         7         8         6         8         4
          Vardas2167         Pavarde2167         7         6         5         6         7         8
          Vardas2168         Pavarde2168         9        10         3         4         7         7
          Vardas2169         Pavarde2169         3         4         9         3         6         5
          Vardas2170         Pavarde2170         9         8         8         9         2         5
          Vardas2171         Pavarde2171         6        10        10         3         3         1
          Vardas2172         Pavarde2172        10         8         4        10         3         8
          Vardas2173         Pavarde2173         5         1         2         8         7         1
          Vardas2174         Pavarde2174         2         4         2         4         1         2
          Vardas2175         Pavarde2175         6         2         8         6         1        10
          Vardas2176         Pavarde2176         7         9         5         4         7         4
          Vardas2177         Pavarde2177         4         9         3         3         2         2
          Vardas2178         Pavarde2178         5         1         1         2         7         8
          Vardas2179         Pavarde2179         9         1         5         9        10        10
          Vardas2180         Pavarde2180         6         3         9         9        10         7
          Vardas2181         Pavarde2181         8         6         1        10         3         7
          Vardas2182         Pavarde2182         8         8         2         2         4         3
          Vardas2183         Pavarde2183         8        10         8         7         4         2
          Vardas2184         Pavarde2184         1         2         9         6         8         4
          Vardas2185         Pavarde2185         6         4         7         6         2         2
          Vardas2186         Pavarde2186         2         8         6         9         4         4
          Vardas2187         Pavarde2187         1         8         5         7         7         6
          Vardas2188         Pavarde2188         3         5         9         3         3         2
          Vardas2189         Pavarde2189         5         3         4         9         1         1
          Vardas2190         Pavarde2190         8         1         7         7         3         9
          Vardas2191         Pavarde2191         6         8         6        10         7         7
          Vardas2192         Pavarde2192         6         4         2         9        10         1
          Vardas2193         Pavarde2193        10         8         9         3         9        10
          Vardas2194         Pavarde2194         8         4         1         8         5         9
          Vardas2195         Pavarde2195         3         4         5         6         2         6
          Vardas2196         Pavarde2196         8         8         1         4         5         2
          Vardas2197         Pavarde2197         3        10         1         2         5        10
          Vardas2198         Pavarde2198         2        10        10         8         7         7
          Vardas2199         Pavarde2199         6         7         5        10         7         8
          Vardas2200         Pavarde2200         1         7         3         3        10         4
          Vardas2201         Pavarde2201         4         3         4         2         5         9
          Vardas2202         Pavarde2202         4         8        10         5         5         7
          Vardas2203         Pavarde2203         5         4         6         8         6         2
          Vardas2204         Pavarde2204         2         8         2         1         6         6
          Vardas2205         Pavarde2205         9        10        10         2        10         4
          Vardas2206         Pavarde2206         3         1        10         1         4         3
          Vardas2207         Pavarde2207         1         4         2         9         6         9
          Vardas2208         Pavarde2208         3         8         1         1         1         2
          Vardas2209         Pavarde2209         2         6         6         5         8         3
          Vardas2210         Pavarde2210        10         7         2         4         7         9
          Vardas2211         Pavarde2211        10         7         8         1         6         6
          Vardas2212         Pavarde2212         8         9         8         3         4         4
          Vardas2213         Pavarde2213         9         5         8         8         7         6
          Vardas2214         Pavarde2214         4         6         6         9         6         8
          Vardas2215         Pavarde2215         6         2         3        10        10         5
          Vardas2216         Pavarde2216         3         4         6         1         5         3
          Vardas2217         Pavarde2217         8         8         1         9         3         4
          Vardas2218         Pavarde2218        10         3         1         6         5         3
          Vardas2219         Pavarde2219         3         9         5         1         4         1
          Vardas2220         Pavarde2220         5         4         9         9         2         2
          Vardas2221         Pavarde2221         4         6         8         9        10         6
          Vardas2222         Pavarde2222         1         9         1         2         3         8
          Vardas2223         Pavarde2223         6         6         4         6        10        10
          Vardas2224         Pavarde2224         3         7         9         2         5         7
          Vardas2225         Pavarde2225         9         4         9        10         5        10
          Vardas2226         Pavarde2226         3         7         7         7         6         9
          Vardas2227         Pavarde2227         7         6         6         7         9         7
          Vardas2228         Pavarde2228        10         7         8         3         2         7
          Vardas2229         Pavarde2229         9         5         8         4         2         9
          Vardas2230         Pavarde2230         1         1         6         9         3         8
          Vardas2231         Pavarde2231         3         4         2         9         6         8
          Vardas2232         Pavarde2232         1        10         6         4        10         5
          Vardas2233         Pavarde2233         3         6         7         2         6         1
          Vardas2234         Pavarde2234         1         9         6         1        10         3
          Vardas2235         Pavarde2235         4         4         1         8         9         6
          Vardas2236         Pavarde2236         8         3        10         2         5         3
          Vardas2237         Pavarde2237         9         9         6         3        10        10
          Vardas2238         Pavarde2238         3         8         1        10         7         2
          Vardas2239         Pavarde2239         2         6         8         2         9         4
          Vardas2240         Pavarde2240         8         5         8         9         9         8
          Vardas2241         Pavarde2241         2         2         7         6         6         7
          Vardas2242         Pavarde2242         6         2         9         2         4        10
          Vardas2243         Pavarde2243         3         9         2         6         2        10
          Vardas2244         Pavarde2244         2         2         8         1         1         1
          Vardas2245         Pavarde2245        10         6         4         9         3         8
          Vardas2246         Pavarde2246        10         5         8         6         3         7
          Vardas2247         Pavarde2247         9        10        10         3         9         1
          Vardas2248         Pavarde2248         3         1         4         9         9         1
          Vardas2249         Pavarde2249         7         8         7         8         3         8
          Vardas2250         Pavarde2250         7         4         3         3         3         9
          Vardas2251         Pavarde2251         7         2         5         7        10         2
          Vardas2252         Pavarde2252         7         8        10         7         9         2
          Vardas2253         Pavarde2253         2         7         2         4         1         1
          Vardas2254         Pavarde2254         2         5         5         4         6         1
          Vardas2255         Pavarde2255         6         5         9         9         6         4
          Vardas2256         Pavarde2256        10         3         3         7         4         3
          Vardas2257         Pavarde2257         9        10         1         2         1         1
          Vardas2258         Pavarde2258         2         2         5         6         7         4
          Vardas2259         Pavarde2259         2         1         1         9         5         1
          Vardas2260         Pavarde2260         8         7        10         5         7         8
          Vardas2261         Pavarde2261         7         6        10         9         1         1
          Vardas2262         Pavarde2262         7         2         2         9         9         1
          Vardas2263         Pavarde2263        10         3         9         1         4         5
          Vardas2264         Pavarde2264         4         9         7         9         1        10
          Vardas2265         Pavarde2265         3         3         2         4         4         5
          Vardas2266         Pavarde2266        10         8         3         6         6         1
          Vardas2267         Pavarde2267         8         7         2         5         3         6
          Vardas2268         Pavarde2268         5         4         5         7        10         5
          Vardas2269         Pavarde2269         6         3         5         2         9         5
          Vardas2270         Pavarde2270         4         4         8         4         5         5
          Vardas2271         Pavarde2271         5         6         4        10        10         7
          Vardas2272         Pavarde2272         8         2         7         7         1         6
          Vardas2273         Pavarde2273         1         3         9         9         8         2
          Vardas2274         Pavarde2274         4         7         9         2         4         3
          Vardas2275         Pavarde2275         6         7         7        10         7         4
          Vardas2276         Pavarde2276         6         3         2         4         9         2
          Vardas2277         Pavarde2277         3         7         5        10         7         1
          Vardas2278         Pavarde2278        10         1         3         6         7         9
          Vardas2279         Pavarde2279         5         3         1        10         1         1
          Vardas2280         Pavarde2280         5         4         5         3         2         4
          Vardas2281         Pavarde2281         5         4         6         2         2         1
          Vardas2282         Pavarde2282         7         1        10         7         7         6
          Vardas2283         Pavarde2283         1         7         6         2         2        10
          Vardas2284         Pavarde2284         3         7         6         8         8         7
          Vardas2285         Pavarde2285         4         7         8         3         3         1
          Vardas2286         Pavarde2286         1         5         1         3         2         5
          Vardas2287         Pavarde2287        10         3         7         6         9         3
          Vardas2288         Pavarde2288         2        10         9         6         3         3
          Vardas2289         Pavarde2289         5         6         4         6         3         3
          Vardas2290         Pavarde2290         7         6         5         7         6        10
          Vardas2291         Pavarde2291         3         1         7         3         9         3
          Vardas2292         Pavarde2292         4        10         9        10         4         4
          Vardas2293         Pavarde2293         9         2         8         8         7         8
          Vardas2294         Pavarde2294         7         6         2         4        10         3
          Vardas2295         Pavarde2295         5         3         7         3         9         6
          Vardas2296         Pavarde2296         1         1         2         6         8        10
          Vardas2297         Pavarde2297         9         9         5         2         8         7
          Vardas2298         Pavarde2298         2         7         7         6         3         1
          Vardas2299         Pavarde2299         7        10         4         8         1         6
          Vardas2300         Pavarde2300         8         9         1         9         9        10
          Vardas2301         Pavarde2301         6         4         4         8         6        10
          Vardas2302         Pavarde2302         8         5         4         1        10         9
          Vardas2303         Pavarde2303         8         3         2         3         8         1
          Vardas2304         Pavarde2304         4         3         2         5         3         8
          Vardas2305         Pavarde2305         4         4         8         2         7         6
          Vardas2306         Pavarde2306         3         6         5         2         4         4
          Vardas2307         Pavarde2307        10         8         6         4         8         4
          Vardas2308         Pavarde2308        10        10         7         9         9         8
          Vardas2309         Pavarde2309         5         7         5         2         1        10
          Vardas2310         Pavarde2310         5         8         1         3         5         1
          Vardas2311         Pavarde2311         5        10         6         4         3         4
          Vardas2312         Pavarde2312         8         9         4         5         3         8
          Vardas2313         Pavarde2313         5        10         9         8         9         9
          Vardas2314         Pavarde2314         3         2         7         3         8         8
          Vardas2315         Pavarde2315         1         2         4         8        10         5
          Vardas2316         Pavarde2316         2         4         2         5         7         7
          Vardas2317         Pavarde2317         5         8         6         2         3         2
          Vardas2318         Pavarde2318         5        10         1         6         9         7
          Vardas2319         Pavarde2319         2        10         6         4         4         2
          Vardas2320         Pavarde2320         3         9         9         2         5        10
          Vardas2321         Pavarde2321         5        10         2         1         8         3
          Vardas2322         Pavarde2322        10         2         1         7         9         6
          Vardas2323         Pavarde2323         9         9         2         5         8         7
          Vardas2324         Pavarde2324         3         4         7         2         9         1
          Vardas2325         Pavarde2325         5         2         2         6         8         5
          Vardas2326         Pavarde2326         1         5         5         7         5         1
          Vardas2327         Pavarde2327         7         6         8         2         3         6
          Vardas2328         Pavarde2328         4         6         7         3         9         7
          Vardas2329         Pavarde2329         5         1         9         1         9         3
          Vardas2330         Pavarde2330         7         4         3         8         1        10
          Vardas2331         Pavarde2331         8         5         5         9         4         6
          Vardas2332         Pavarde2332         4         5         6         8         8         9
          Vardas2333         Pavarde2333         4         7         8         9         1         8
          Vardas2334         Pavarde2334         6         6         7         7         5         4
          Vardas2335         Pavarde2335         8         2         7         6         3         6
          Vardas2336         Pavarde2336         5         3         8         3        10         3
          Vardas2337         Pavarde2337         9         3         4         1         4         2
          Vardas2338         Pavarde2338         4         6        10         1         6         8
          Vardas2339         Pavarde2339         2         8         9         7         7         5
          Vardas2340         Pavarde2340         7         7         1         7         7         3
          Vardas2341         Pavarde2341         4         5         1         7         8        10
          Vardas2342         Pavarde2342         9         1         9         3         9         5
          Vardas2343         Pavarde2343         9         9         2         2        10         1
          Vardas2344         Pavarde2344         6         3         9         9         5         6
          Vardas2345         Pavarde2345         3         1         7         2         1         6
          Vardas2346         Pavarde2346         5         1         3         7         4         6
          Vardas2347         Pavarde2347         4         1         1         6         8         3
          Vardas2348         Pavarde2348         1         1         9         1         8         6
          Vardas2349         Pavarde2349         5        10         4         2         6         2
          Vardas2350         Pavarde2350         7         8         8         4         8         4
          Vardas2351         Pavarde2351         1         8         2         4         1         6
          Vardas2352         Pavarde2352         6        10         9         2         7        10
          Vardas2353         Pavarde2353         5         5         2         2         5         2
          Vardas2354         Pavarde2354         3         9         2         6         2         7
          Vardas2355         Pavarde2355         3        10         6         8         3         2
          Vardas2356         Pavarde2356         1         2         4        10         5         1
          Vardas2357         Pavarde2357         4         7         7         6         2         6
          Vardas2358         Pavarde2358         4         3         1        10         2         5
          Vardas2359         Pavarde2359         6         2         5         7         6         2
          Vardas2360         Pavarde2360         8        10         6         7         9         5
          Vardas2361         Pavarde2361         1         2         7        10         4         8
          Vardas2362         Pavarde2362         1         4         3         4         2         2
          Vardas2363         Pavarde2363         7         2         3        10        10         2
          Vardas2364         Pavarde2364         5         2         5         6         5         3
          Vardas2365         Pavarde2365         6         9        10         6         1         4
          Vardas2366         Pavarde2366        10         5         2         1        10         5
          Vardas2367         Pavarde2367         8         4         4         3         8         3
          Vardas2368         Pavarde2368         1         2         8         7         8         5
          Vardas2369         Pavarde2369         6         6         8         4         4         9
          Vardas2370         Pavarde2370         5         5         7         5         2         7
          Vardas2371         Pavarde2371        10         4         5         4         3         5
          Vardas2372         Pavarde2372         7         5         8         9         1         9
          Vardas2373         Pavarde2373         9        10         4         7         3         2
          Vardas2374         Pavarde2374         6         9         9         2         4         7
          Vardas2375         Pavarde2375         5         5         6         6         8         2
          Vardas2376         Pavarde2376         9         2         9         7         5         2
          Vardas2377         Pavarde2377         3         9         9         3         7         7
          Vardas2378         Pavarde2378         5         2         1         3        10        10
          Vardas2379         Pavarde2379         9         3        10         7         9         8
          Vardas2380         Pavarde2380         7         9         9         9         9        10
          Vardas2381         Pavarde2381         3        10         1         4         7         9
          Vardas2382         Pavarde2382        10        10         6         2         7         9
          Vardas2383         Pavarde2383         5        10         7         6         4         9
          Vardas2384         Pavarde2384         7         7         1         7         7         4
          Vardas2385         Pavarde2385         2         9         4         3         2         1
          Vardas2386         Pavarde2386         8         7        10         8         5         8
          Vardas2387         Pavarde2387         1         4         7         5        10         4
          Vardas2388         Pavarde2388         5        10         5         7         1         8
          Vardas2389         Pavarde2389         7         9         3        10         1         6
          Vardas2390         Pavarde2390         9         5         7         9         8         6
          Vardas2391         Pavarde2391         2         2         9         2         6         6
          Vardas2392         Pavarde2392         2         6         7         6         6         8
          Vardas2393         Pavarde2393         8         3         3         5         4        10
          Vardas2394         Pavarde2394        10        10         2         3         9         1
          Vardas2395         Pavarde2395         1         1         4        10         5         9
          Vardas2396         Pavarde2396         9         9         1         4         9         3
          Vardas2397         Pavarde2397         1         1         1         1         3         6
          Vardas2398         Pavarde2398         9         7        10         3         7         7
          Vardas2399         Pavarde2399         4         3         3         6         3         7
          Vardas2400         Pavarde2400         2        10         3         2         5         6
          Vardas2401         Pavarde2401        10         6         7         6         8         6
          Vardas2402         Pavarde2402         2         4         7         8         1         5
          Vardas2403         Pavarde2403         7         2         7         5         5         1
          Vardas2404         Pavarde2404         3        10        10         1         8        10
          Vardas2405         Pavarde2405         9         8         2         2         7         2
          Vardas2406         Pavarde2406        10        10         2        10         8         1
          Vardas2407         Pavarde2407        10         4         6         6         1         3
          Vardas2408         Pavarde2408         6         5         4         2         9        10
          Vardas2409         Pavarde2409         1         1         7         1         7         5
          Vardas2410         Pavarde2410         3         8         7         4         2         1
          Vardas2411         Pavarde2411         8         1         4         9         3         3
          Vardas2412         Pavarde2412         7         2         1        10         4         8
          Vardas2413         Pavarde2413         8         8         6         5         1         7
          Vardas2414         Pavarde2414         4         8         8         3         5         4
          Vardas2415         Pavarde2415         3         7         7         8         9         3
          Vardas2416         Pavarde2416        10         1         7         5         9         3
          Vardas2417         Pavarde2417         5         5         4         5         7         1
          Vardas2418         Pavarde2418        10         2         3         3         2         6
          Vardas2419         Pavarde2419         6         6         6         6         1         6
          Vardas2420         Pavarde2420         9        10        10         4         3         6
          Vardas2421         Pavarde2421         8         1         5         5         3         6
          Vardas2422         Pavarde2422         6         7         3         5         3         8
          Vardas2423         Pavarde2423         1         4         8         1         2         6
          Vardas2424         Pavarde2424         5         1         8         8        10         3
          Vardas2425         Pavarde2425         1         6        10         4         8        10
          Vardas2426         Pavarde2426         2         9         8         2         4         5
          Vardas2427         Pavarde2427         2         3         3         3         7         1
          Vardas2428         Pavarde2428         4         8         8         8         6         3
          Vardas2429         Pavarde2429         3         8         7         1         1         8
          Vardas2430         Pavarde2430        10         8         9         8        10        10
          Vardas2431         Pavarde2431         8         7         5         9         1         9
          Vardas2432         Pavarde2432         1         7         2         9         5         1
          Vardas2433         Pavarde2433         6         5        10        10        10         9
          Vardas2434         Pavarde2434         6         1         4         7         2         1
          Vardas2435         Pavarde2435         9         1         4         9         1         8
          Vardas2436         Pavarde2436         5         5         8         3         3         7
          Vardas2437         Pavarde2437         6         4         4         7         8         1
          Vardas2438         Pavarde2438         5         2         9         5        10         7
          Vardas2439         Pavarde2439         3         2         3         3         1         5
          Vardas2440         Pavarde2440         3        10         4         3         5        10
          Vardas2441         Pavarde2441         7        10         7         2         6         1
          Vardas2442         Pavarde2442         4         3         3         7         1         3
          Vardas2443         Pavarde2443         8         6         8         2        10         2
          Vardas2444         Pavarde2444         2         8         8         4         3         5
          Vardas2445         Pavarde2445         9         3         8         9         1         2
          Vardas2446         Pavarde2446         3         7         8         8         1         2
          Vardas2447         Pavarde2447         9         5        10         6        10         3
          Vardas2448         Pavarde2448         3         7         6        10         1         1
          Vardas2449         Pavarde2449         9         1         5         9         7         6
          Vardas2450         Pavarde2450         7         1         6         2        10         6
          Vardas2451         Pavarde2451         5         7         4         2         9         6
          Vardas2452         Pavarde2452         8         7         8         2         6         6
          Vardas2453         Pavarde2453         2        10         7         8         7         7
          Vardas2454         Pavarde2454         6         2        10         8         7         2
          Vardas2455         Pavarde2455         1         3         6         1         1         9
          Vardas2456         Pavarde2456         5         6         8         4         2         9
          Vardas2457         Pavarde2457         2         5         8         1        10        10
          Vardas2458         Pavarde2458         8         7         3         5         4         7
          Vardas2459         Pavarde2459        10         6         4         5         6         4
          Vardas2460         Pavarde2460         9         8         7         3         2         5
          Vardas2461         Pavarde2461         3         9         1         4        10         2
          Vardas2462         Pavarde2462         5         1         8         4         4         9
          Vardas2463         Pavarde2463         3         8         6         4         4         1
          Vardas2464         Pavarde2464         9        10         7         3         7         6
          Vardas2465         Pavarde2465         4         3         1         1         2         7
          Vardas2466         Pavarde2466         2         8        10         7        10         4
          Vardas2467         Pavarde2467         3         3         6         4         9        10
          Vardas2468         Pavarde2468         9         9         2         2         3         4
          Vardas2469         Pavarde2469         5         6         9         9         7         7
          Vardas2470         Pavarde2470         7         1         8         4         5         1
          Vardas2471         Pavarde2471         4         8         8         2         6         1
          Vardas2472         Pavarde2472         2        10        10         5        10         5
          Vardas2473         Pavarde2473        10         4         6         1         1         8
          Vardas2474         Pavarde2474         8         7         7         5         6         5
          Vardas2475         Pavarde2475        10         5         3         7         7         3
          Vardas2476         Pavarde2476         8         5         2         1         5         8
          Vardas2477         Pavarde2477         3         6         7         4         3         1
          Vardas2478         Pavarde2478         9         4         6        10         4         8
          Vardas2479         Pavarde2479         3         4        10         1        10        10
          Vardas2480         Pavarde2480         7         7         5         8         6         4
          Vardas2481         Pavarde2481         9         4         3         7         4         8
